epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6474,1.10486,3.95117,1.40673,0.40129,0.39242,0.35462,0.24963,0.99155,2.38503,1.30472,0.000132308,0.000132308,0.000132308
2,93.0082,1.08144,2.78884,1.37277,0.41356,0.40527,0.39272,0.27202,1.0314,2.127,1.34536,0.000260381,0.000260381,0.000260381
3,135.329,1.09797,2.63226,1.39112,0.47356,0.41529,0.42122,0.28058,1.06521,2.1001,1.3912,0.000383175,0.000383175,0.000383175
4,179.24,1.15942,2.45864,1.43342,0.4197,0.45187,0.42236,0.28243,1.15912,2.11985,1.44827,0.00037624,0.00037624,0.00037624
5,221.653,1.14749,2.36662,1.41163,0.52484,0.48337,0.50712,0.33177,1.19691,1.8877,1.4812,0.00036832,0.00036832,0.00036832
6,263.658,1.14647,2.2316,1.40478,0.51846,0.55348,0.55861,0.37352,1.09408,1.73278,1.394,0.0003604,0.0003604,0.0003604
7,305.884,1.11105,2.13224,1.38554,0.61055,0.55103,0.61285,0.41989,1.04689,1.55687,1.36168,0.00035248,0.00035248,0.00035248
8,348.5,1.0894,2.03245,1.38167,0.56592,0.58396,0.60142,0.41589,1.06167,1.62367,1.34552,0.00034456,0.00034456,0.00034456
9,391.246,1.11239,2.00509,1.38038,0.59646,0.61625,0.66117,0.46947,0.97747,1.40409,1.27521,0.00033664,0.00033664,0.00033664
10,433.475,1.04245,1.8875,1.34185,0.65388,0.66447,0.71274,0.50132,1.01223,1.28404,1.30137,0.00032872,0.00032872,0.00032872
11,475.95,1.05464,1.7517,1.33653,0.69453,0.64297,0.72642,0.52849,0.97241,1.31284,1.27621,0.0003208,0.0003208,0.0003208
12,518.087,1.03301,1.7396,1.32426,0.69471,0.6936,0.7472,0.544,0.94147,1.21026,1.2473,0.00031288,0.00031288,0.00031288
13,560.746,1.01552,1.68991,1.3222,0.73333,0.73032,0.77931,0.56088,0.9607,1.12527,1.25821,0.00030496,0.00030496,0.00030496
14,602.842,1.03198,1.65087,1.31795,0.78006,0.74598,0.82355,0.61155,0.90799,1.048,1.22072,0.00029704,0.00029704,0.00029704
15,644.52,1.0005,1.54436,1.3122,0.79994,0.74689,0.824,0.60861,0.91382,1.00362,1.21934,0.00028912,0.00028912,0.00028912
16,686.83,0.97293,1.49671,1.2856,0.81641,0.73344,0.83568,0.62147,0.89808,0.95128,1.19842,0.0002812,0.0002812,0.0002812
17,729.261,0.957,1.40839,1.27392,0.80707,0.76416,0.85504,0.65024,0.85161,0.9123,1.1693,0.00027328,0.00027328,0.00027328
18,771.64,0.9562,1.36107,1.25713,0.7996,0.79615,0.88142,0.67778,0.82985,0.88434,1.1469,0.00026536,0.00026536,0.00026536
19,813.214,0.94422,1.33282,1.2578,0.86167,0.81318,0.89405,0.6894,0.83097,0.79023,1.14949,0.00025744,0.00025744,0.00025744
20,855.394,0.93762,1.27721,1.2529,0.84459,0.82924,0.89914,0.69432,0.81701,0.80802,1.14609,0.00024952,0.00024952,0.00024952
21,897.975,0.9114,1.2137,1.22266,0.85706,0.83076,0.90166,0.69875,0.78615,0.77099,1.1114,0.0002416,0.0002416,0.0002416
22,943.094,0.89625,1.18698,1.22431,0.86899,0.84125,0.91598,0.72316,0.78075,0.72117,1.09861,0.00023368,0.00023368,0.00023368
23,986.086,0.8972,1.17968,1.22303,0.89624,0.85774,0.92827,0.74374,0.74963,0.67037,1.08032,0.00022576,0.00022576,0.00022576
24,1028.25,0.86385,1.09128,1.19402,0.89916,0.87295,0.93568,0.74424,0.74652,0.65407,1.07634,0.00021784,0.00021784,0.00021784
25,1071.02,0.85601,1.0814,1.18933,0.89589,0.88525,0.93988,0.75417,0.72535,0.63569,1.07473,0.00020992,0.00020992,0.00020992
26,1113.41,0.85618,1.07557,1.20187,0.90455,0.90211,0.94811,0.76545,0.71899,0.60842,1.06092,0.000202,0.000202,0.000202
27,1155.25,0.8354,1.0322,1.18437,0.87791,0.89937,0.93649,0.74948,0.7384,0.63848,1.07329,0.00019408,0.00019408,0.00019408
28,1197.17,0.81824,0.99081,1.16739,0.92462,0.91571,0.95668,0.77861,0.7043,0.56108,1.05265,0.00018616,0.00018616,0.00018616
